job_id,title,company,location,salary_min,salary_max,created_date,description,average_salary
5803994263,Remote AV Support Engineer,Jacobs Massey,"Central London, London",39946.06,39946.06,2026-07-17T00:42:49Z,"Looking to move your AV career away from being on-site every day? We're recruiting for a Helpdesk / VNOC Engineer to join a global AV support operation, providing remote technical support for enterprise audiovisual systems around the world. This is an excellent opportunity for either: An experienced AV Helpdesk or VNOC Engineer, or An AV Technician looking to progress into a remote technical support role. Please note: This position operates on a 24/7 rotating shift pattern , which is a non-nego…",39946.06
5803994259,Supported Housing Officer,Places for People Living Plus,"Camden, North West London",37807.12,37807.12,2026-07-17T00:42:49Z,"At Places for People, we hire People, not numbers! So, if you like the sound of one of our jobs, please apply - you could be just who we're looking for! Of course, experience and track record are important, but we're more interested in hiring someone that embodies our People Promises. That's someone that does the right thing, is enthusiastic and motivated to grow, believes in Community spirit, is respectful and enjoys their work. As the UK's leading Social Enterprise, we're dedicated to creatin…",37807.12
5803994254,Class 2 Day Driver,Work Lyf Group Limited,"Stoke-On-Trent, Staffordshire",30160.0,30160.0,2026-07-17T00:42:35Z,"Class 2 HGV Driver Pallet Network Multi-Drop Pay Rate: £14.50 per hour Location: Stoke-on-Trent, Staffordshire (ST1 5GP) Job Type: Full-Time, Permanent Minimum Contracted Hours: 40 hours per week Work Lyf Group are recruiting on behalf of our client for a Class 2 HGV Driver to join their busy pallet network operation based in Stoke-on-Trent. This is an excellent opportunity for a professional and customer-focused Class 2 Driver looking for a stable role with consistent weekday work and a well-e…",30160.0
5803994246,HGV Class 1 Driver tramper,Forest Freight,"Rainham, Gillingham",60000.0,60000.0,2026-07-17T00:42:34Z,"Pay: From £50,000.00 per year Job Description: We offer full time employment Monday to Friday, with a guaranteed 55 hours paid a week Overtime is constantly available as well as optional weekend work. We are recruiting tramping & day drivers. Average earnings for Tramper drivers (based on 65 hour week) - £57,610 per annum Average earnings for Day drivers (based on 60 hour week) - £48,020 per annum In addition to good working conditions, we offer; Your own vehicle An immediate start for the righ…",60000.0
5803994249,Picker / Packer,Pin Point Recruitment,"Chelmsford, Essex",26436.0,26436.0,2026-07-17T00:42:34Z,"Picker / Packer (Temporary) Chelmsford We are currently looking for an experienced Pick & Packer to join our team in Chelmsford. Job Details: Location: Chelmsford Pay Rate: £12.71 per hour Hours: Monday to Friday, 8:00am 4:00pm Break: 30-minute lunch break Total Hours: 37.5 hours per week Key Responsibilities: Picking and packing orders accurately Preparing goods for dispatch Working efficiently to meet daily targets Following all health and safety procedures Requirements: Previous pick and pac…",26436.0
5803994252,Forklift Driver - Night Shift,Oneplace Solutions Limited,"Burton-On-Trent, Staffordshire",29120.0,29120.0,2026-07-17T00:42:34Z,OnePlace Solutions are seeking reliable and skilled Forklift Counterbalance Drivers to join their team based in Burton Upon Trent. The ideal candidate will be responsible for loading & unloading of freight in a pallet network environment. This role requires a strong understanding of a pallet network and the ability to handle various freight with a fast paced method. Job Responsibilities Operating Forklift Counterbalance Trucks loading and unloading heavy goods. Maintain accurate records of deli…,29120.0
5803994247,Flt Driver,Proman,"Ellesmere Port, Cheshire",31553.0,63107.0,2026-07-17T00:42:34Z," FLT DRIVER (Counterbalance) REQUIRED IN AUTOMOTIVE SECTOR for immediate start  Company Description: A global car manufacturer, you will be working at one of the motor vehicle plant located in Ellesmere Port CH65 Role: FLT Driver (Counterbalance) Pay: STD up to 37.5hrs – £15.17p/h  Shift Allowance SHIFT ALLOWANCE AM/PM(2 shifts rotation)  £1.67p/h Nights only  £5.06/h OT anytime over 7.5h Monday – Friday and Saturday - £22.76p/h OT Sunday - £30.34p/h Duties: to work anywhere within the warehous…",47330.0
5803994248,Warehouse Operative,Swift Temps,"Banbury, Oxfordshire",29848.0,29848.0,2026-07-17T00:42:34Z,"Warehouse Operative Location: Banbury Pay rate: £14.35 per hour Hours: 07:00 16:20 Any 5 days out of 7 (Saturday always off  1 additional day off during the week) We are currently recruiting for a Warehouse Operative to join a busy and fast-paced warehouse operation in Banbury. This is a full-time, ongoing opportunity working within a chilled warehouse environment. Candidate must be comfortable working in cold temperatures. Duties of a Warehouse Operative: Voice picking using a headset system P…",29848.0
5803994251,Production Operative,Pin Point Recruitment,"Colchester, Essex",25736.57,25736.57,2026-07-17T00:42:34Z,"Production Operatives Location: Severals, Colchester £12.71 per hour Contract: Temp We're hiring Production Operatives for a on going temp contract for manufacturing company in Colchester. Shift Pattern: 6am - 2:30pm Monday to Thursday and 6am 2pm - Friday or 2:30pm - 11pm Monday to Friday and 2pm -10pm - Friday Production Operative Job Role: Monitoring a production line and conducting basic testing and quality checks Storing goods and raw materials in a factory or warehouse Adhering to relevan…",25736.57
5803994253,HGV Class 1 Driver,The Recruitment Crowd  Limited,"Coventry, West Midlands",41350.0,86361.0,2026-07-17T00:42:34Z,HGV Class 1 Drivers (CAT CE) *NEWLY QUALIFIED DRIVERS WELCOME TO APPLY* ASSESSMENTS AVAILABLE ASAP! Location: Coventry CV8 Job Type: Long-term ongoing Shift Patterns: Across Sunday to Friday (full time and part time options available) Start times windows: - Midnight - 3am - 12pm- 4pm - 4pm - 8pm - 8pm - Midnight Pay Rates: Weeks 112 (Including Rolled Up Holiday Pay) Day Shift: £19.88 Night Shift: £20.16 Weekends (Saturday & Sunday): £20.16 13 Weeks (Including Rolled Up Holiday Pay) Day Shift: £…,63855.5
5803994244,Master Crew Transfer Vessel (CTV),The Recruitment Crowd  Limited,"Whitehaven, Cumbria",75400.0,81900.0,2026-07-17T00:42:28Z,"Master Crew Transfer Vessel (CTV) Location: UK Offshore (Travel Required) Job Type: Full-Time / Rotational Salary: Master: £290 per day Master 500 CoC (or above): £315 per day Plus £20 daily subsistence allowance when working away from home to cover food costs. About the Role We are seeking experienced Masters to join our offshore marine operations team, operating modern Crew Transfer Vessels (CTVs) supporting the offshore renewable energy sector. The successful candidate will be responsible fo…",78650.0
5803994239,Master Crew Transfer Vessel (CTV),The Recruitment Crowd  Limited,"Buckie, Moray",75400.0,81900.0,2026-07-17T00:42:28Z,"Master Crew Transfer Vessel (CTV) Location: UK Offshore (Travel Required) Job Type: Full-Time / Rotational Salary: Master: £290 per day Master 500 CoC (or above): £315 per day Plus £20 daily subsistence allowance when working away from home to cover food costs. About the Role We are seeking experienced Masters to join our offshore marine operations team, operating modern Crew Transfer Vessels (CTVs) supporting the offshore renewable energy sector. The successful candidate will be responsible fo…",78650.0
5803994242,Retail Managers,Zachary Daniels,"London, UK",60000.0,60000.0,2026-07-17T00:42:28Z,"Retail Managers London Zachary Daniels Retail Recruitment are working with leading brands across London and want to speak with any Retail Manager ready for a new opportunity.If you are an experienced Retail Manager seeking development, progression or a fresh challenge, we want to hear from you. Retailers across the city are actively hiring and are looking for strong leadership, commercial awareness and the qualities that make a great Retail Manager .We recruit for: Area Managers / Regional Mana…",60000.0
5803994243,Demand Manager - £526 per day Inside IR35 - Hybrid - Insurance,Huxley Associates,"The City, Central London",0.0,136760.0,2026-07-17T00:42:28Z,"My Insurance client is currently seeking for a Network Demand Manager to take ownership of the demand, forecasting, financial planning and stakeholder engagement activities for Global Network Services. Key Responsibilities Own and manage the Network demand pipeline, ensuring requirements from affiliates, operations, engineering and architecture teams are captured, assessed and prioritised. Develop and maintain network financial forecasts, budgets and cost allocation models to support business g…",68380.0
5803994245,Product Specialist (NetDocuments),DGH Recruitment,"Birmingham, West Midlands",130000.0,145340.0,2026-07-17T00:42:28Z,"Product Specialist (NetDocuments) Role Overview: The Product Specialist in the Document Products team is primarily responsible for the day-to-day administration, support, and business-as-usual operation of the firm's document platforms, including NetDocuments and file transfer applications. These platforms are critical to the secure creation, management, governance, and delivery of client and firm content. Key Responsibilities: * Act as a trusted, knowledgeable resource for NetDocuments and rel…",137670.0
5803994241,Master Crew Transfer Vessel (CTV),The Recruitment Crowd  Limited,"Great Yarmouth, Norfolk",75400.0,81900.0,2026-07-17T00:42:28Z,"Master Crew Transfer Vessel (CTV) Location: UK Offshore (Travel Required) Job Type: Full-Time / Rotational Salary: Master: £290 per day Master 500 CoC (or above): £315 per day Plus £20 daily subsistence allowance when working away from home to cover food costs. About the Role We are seeking experienced Masters to join our offshore marine operations team, operating modern Crew Transfer Vessels (CTVs) supporting the offshore renewable energy sector. The successful candidate will be responsible fo…",78650.0
5803994240,Master Crew Transfer Vessel (CTV),The Recruitment Crowd  Limited,"Deeside, Flintshire",75400.0,81900.0,2026-07-17T00:42:28Z,"Master Crew Transfer Vessel (CTV) Location: UK Offshore (Travel Required) Job Type: Full-Time / Rotational Salary: Master: £290 per day Master 500 CoC (or above): £315 per day Plus £20 daily subsistence allowance when working away from home to cover food costs. About the Role We are seeking experienced Masters to join our offshore marine operations team, operating modern Crew Transfer Vessels (CTVs) supporting the offshore renewable energy sector. The successful candidate will be responsible fo…",78650.0
5803994238,Property Inspector,HR Solutions,"East London, London",35000.0,35000.0,2026-07-17T00:42:27Z,"Hours: 37.5 hours per week, although will consider applications for part-time Contract: Fixed term 6 months contract Peter Bedford Housing Association (PBHA) is a dynamic housing association with a strong social mission, to create positive change in peoples lives. We provide high-quality homes and support services across Hackney, Islington and Newham, empowering people to achieve greater independence and wellbeing. Our tenants and participants include people who have experienced homelessness, m…",35000.0
